id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,mag_v,merr_v,mag_b,merr_b
91.0,13.06,0.033,0.0,0.895225,12.834,0.176,12.762,0.097,,,,,14.356,0.184,14.903,0.264
94.0,14.032,0.026,1.0,0.253936,13.896,0.045,13.877,0.029,13.857,0.020,13.792,0.029,14.768,0.091,15.069,0.122
95.0,13.504,0.075,1.0,0.405067,13.26,0.039,13.245,0.048,,,,,14.569,0.150,14.948,0.213
96.0,,,0.0,0.624527,,,,,,,,,14.375,0.256,15.011,0.435
97.0,13.353,0.118,0.0,0.6918979999999999,13.142,0.079,13.028,0.075,12.978,0.075,12.725,0.093,14.56,0.257,15.014,0.375
98.0,13.877,0.105,1.0,0.280566,13.68,0.067,13.673,0.028,14.111,0.054,13.037,0.066,14.795,0.169,15.178,0.250
99.0,13.152,0.165,0.0,0.766181,12.729,0.124,12.711,0.039,13.452,0.157,12.697,0.097,14.292,0.323,14.79,0.443
100.0,13.549,0.105,0.0,0.5527449999999999,13.187,0.117,13.176,0.113,12.938,0.262,12.977,0.219,14.831,0.315,15.471,0.513
101.0,13.683,0.047,1.0,0.340946,13.502,0.046,13.428,0.025,,,,,14.617,0.148,14.994,0.205
102.0,13.346,0.111,0.0,0.691396,13.101,0.075,13.009,0.065,13.002,0.119,13.078,0.100,14.589,0.275,15.055,0.372
103.0,13.622,0.047,1.0,0.328852,13.41,0.109,13.409,0.045,12.961,0.014,13.02,0.022,,,14.873,0.124
104.0,13.626,0.322,0.0,0.866524,13.337,0.557,13.153,0.356,,,,,14.521,0.120,15.064,0.162
105.0,13.787,0.063,1.0,0.335328,13.608,0.039,13.53,0.039,,,,,14.76,0.174,15.135,0.215
106.0,13.472,0.157,0.0,0.5699029999999999,13.248,0.152,13.204,0.092,13.309,0.058,13.126,0.079,14.563,0.328,14.991,0.377
107.0,13.685,0.116,0.0,0.5141020000000001,13.408,0.047,13.418,0.168,13.649,0.334,13.343,0.114,14.919,0.358,15.33,0.486
108.0,13.393,0.137,0.0,0.594458,12.958,0.178,13.062,0.109,14.987,0.390,12.943,0.094,14.577,0.322,15.062,0.419
109.0,13.36,0.180,0.0,0.7440979999999999,13.128,0.153,12.983,0.068,,,,,14.48,0.276,14.946,0.405
110.0,13.781,0.062,1.0,0.33210700000000004,13.664,0.118,13.588,0.036,,,,,14.631,0.182,14.983,0.255
111.0,13.279,0.122,0.0,0.762905,12.941,0.172,12.898,0.068,,,,,14.405,0.186,14.921,0.251
