wavelength,dist_ab,err_ab,dist_c,err_c,dist_mean,err_mean
1.22,13.8444700439,0.022898705071,13.848273397,0.0172876928644,13.8463717205,0.0143458619339
1.63,13.831842876,0.0325232129701,13.8099748142,0.0251443690692,13.8209088451,0.0205547967503
2.19,13.7892228614,0.0246523194063,13.7995935107,0.0203308310818,13.7944081861,0.0159771676509
3.55,13.7503311889,0.026451568913,13.8380616048,0.0308651734853,13.7941963968,0.0203245198728
4.493,13.7708312101,0.0521525602412,13.8897564007,0.060845871767,13.8302938054,0.0400690330892
