id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_all_j,resid_all_h,resid_all_k,resid_all_3,resid_all_4,resid_m4_j,resid_m4_h,resid_m4_k,resid_m4_3,resid_m4_4
3.0,13.2473573668,0.0174188595111,0.0,0.841258,12.9816040474,0.0183620986455,12.8818734013,0.0174355957742,12.8408674221,0.0394620070448,12.7077907694,0.03574329774,-0.0334293055871,-0.0596838990049,-0.0217459257406,-0.0868184543207,0.034532157881,-0.0334293055871,-0.0596838990049,-0.0217459257406,-0.0868184543207,0.034532157881
4.0,13.475108934,0.0159478316185,0.0,0.62732,13.2189074538,0.0210436055212,13.1327453413,0.0198934662641,13.0296299499,0.0359246897458,13.0260254837,0.0348389150233,-0.00872208734308,-0.0116489810187,0.0171808612153,0.0264519918835,0.0164188164839,-0.00872208734308,-0.0116489810187,0.0171808612153,0.0264519918835,0.0164188164839
5.0,13.6999254242,0.0171731379388,0.0,0.515274,13.548892523,0.0196977156036,13.5065967215,0.0265910385907,13.3871486147,0.0428631543403,13.3400494474,0.0297895395511,-0.0642603354142,-0.150309474688,-0.162355161791,-0.128548028875,-0.0963682667448,-0.0642603354142,-0.150309474688,-0.162355161791,-0.128548028875,-0.0963682667448
7.0,13.3326552658,0.00925562891794,0.0,0.713,13.1508866159,0.0308193662059,13.0358166741,0.0183620986455,,,,,0.0235871962485,-0.0681174299123,-0.0123257722407,,,,,,,
8.0,13.5047993206,0.014634434279,0.0,0.521329,13.2580410882,0.0165,13.2231514067,0.0136717470232,,,,,0.120814857634,0.129182046571,0.109552661543,,,,,,,
9.0,13.7757272401,0.0166458202962,0.0,0.52348,13.5339313928,0.0207846096908,13.469579702,0.0162198438135,13.3146343909,0.0364760195197,13.2789743718,0.0389015852291,-0.153655505115,-0.150712059359,-0.140942022424,-0.0722964242113,-0.0514528823115,-0.153655505115,-0.150712059359,-0.140942022424,-0.0722964242113,-0.0514528823115
10.0,13.5787821328,0.0135339080338,1.0,0.374976,13.3946385787,0.0228819433907,13.3454315504,0.018801595677,13.3423004837,0.0366242178529,13.1681064141,0.0374277080962,0.0185832425763,0.0260899507212,0.0151772576543,-0.0258401075287,0.112243643543,0.0185832425763,0.0260899507212,0.0151772576543,-0.0258401075287,0.112243643543
11.0,13.4811991765,0.0144279820719,0.0,0.564789,13.3072668097,0.0277308492477,13.2187967503,0.0250116639457,13.0497922921,0.0580222658411,,,0.0755270231959,0.00209656538031,0.0348304561581,0.114368532421,,,,,,
12.0,13.5902189499,0.0184390889146,1.0,0.386769,13.3786481568,0.0280935935758,13.3045621063,0.0249365862406,13.1682374472,0.0480789281633,13.4479778753,0.088424167134,-0.0259495592608,0.00582406427056,0.0195214296918,0.112477651673,-0.20768996253,-0.0259495592608,0.00582406427056,0.0195214296918,0.112477651673,-0.20768996253
13.0,13.3525169876,0.0192591969372,0.0,0.669039,13.0807481439,0.0222298597986,13.0578864696,0.016618263046,12.9176301873,0.0323135678418,12.8596555542,0.0309152066142,0.0584765410525,0.0639027372549,0.0284534607587,0.0721811014443,0.116937527458,0.0584765410525,0.0639027372549,0.0284534607587,0.0721811014443,0.116937527458
