wavelength,dist_ab,err_ab,dist_c,err_c,dist_mean,err_mean
1.22,18.4649797091,0.0168492403378,18.4520911531,0.0202984620851,18.4629175401,0.0145212106322
1.63,18.4898390127,0.00856417425127,18.441812954,0.0151689444316,18.4821548433,0.00759228350894
2.19,18.3936461056,0.00593047177263,18.4040214894,0.00113589749132,18.395306167,0.00498491046282
3.55,18.4276230574,0.0128938455664,18.4553127379,0.0391892730359,18.4320534063,0.0125149247686
4.493,18.4167906028,0.0228182518294,18.5332638812,0.0162973937371,18.4354263274,0.0193438901809
