wavelength,dist_ab,err_ab,dist_c,err_c,dist_mean,err_mean
1.22,13.8581375138,0.0184433992599,13.8599069525,0.0117669937951,13.8590399275,0.0108483258426
1.63,13.8190455551,0.0246565164929,13.8247364549,0.0153730538808,13.821947914,0.0144026714556
2.19,13.8052697416,0.0209881234885,13.8182766712,0.0126800468891,13.8119032757,0.0121484229543
3.55,13.7911763497,0.0289294922183,13.7987277253,0.0394887764298,13.7950275512,0.0246279080175
4.493,13.7617179806,0.032692572392,13.8603570855,0.0517767345812,13.8120239241,0.0308853340013
