id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4
3.0,13.247357366800001,0.017418859511099997,0.0,0.841258,12.9816040474,0.0183620986455,12.881873401300002,0.0174355957742,12.8408674221,0.039462007044800004,12.7077907694,0.03574329774
4.0,13.475108934000001,0.0159478316185,0.0,0.62732,13.218907453800002,0.0210436055212,13.132745341300001,0.019893466264099997,13.0296299499,0.0359246897458,13.026025483699998,0.034838915023300006
5.0,13.6999254242,0.0171731379388,0.0,0.515274,13.548892523,0.019697715603599997,13.506596721500001,0.026591038590700004,13.387148614700001,0.042863154340300004,13.3400494474,0.0297895395511
7.0,13.3326552658,0.00925562891794,0.0,0.713,13.1508866159,0.0308193662059,13.035816674100001,0.0183620986455,,,,
8.0,13.5047993206,0.014634434279,0.0,0.521329,13.258041088199999,0.0165,13.223151406700001,0.013671747023200002,,,,
9.0,13.7757272401,0.0166458202962,0.0,0.5234800000000001,13.5339313928,0.0207846096908,13.469579702,0.016219843813499998,13.314634390899998,0.0364760195197,13.2789743718,0.0389015852291
11.0,13.4811991765,0.0144279820719,0.0,0.564789,13.3072668097,0.027730849247699998,13.2187967503,0.0250116639457,13.049792292100001,0.0580222658411,,
13.0,13.3525169876,0.0192591969372,0.0,0.669039,13.080748143900001,0.0222298597986,13.0578864696,0.016618263046,12.9176301873,0.0323135678418,12.859655554200002,0.030915206614200004
15.0,13.244973271800001,0.0179953697748,0.0,0.810642,13.0199288531,0.030584582172500003,12.953687623599999,0.0250166611148,13.1490070259,0.0838475799691,,
18.0,13.3714167251,0.0101693985401,0.0,0.621689,13.1311042794,0.023841490445599998,13.1001916825,0.0164848415218,13.005601757300001,0.0425959700754,,
20.0,13.410200715699998,0.014696938456700002,0.0,0.615559,13.210078414000002,0.035530503327,13.125257471800001,0.025146238950099997,13.0598012681,0.039404948927800006,12.9398495231,0.0293072800967
23.0,13.9414510281,0.0247907913011,0.0,0.5108699999999999,13.7939049746,0.047674241822300005,13.6577764544,0.0334203032103,13.3253135875,0.0638278935889,,
32.0,13.5078880678,0.00897682200633,0.0,0.620373,13.2435126279,0.018448125469400004,13.1324912178,0.0179953697748,,,,
33.0,13.3376045677,0.0146941031256,0.0,0.602324,13.105552986300001,0.021548395145200003,13.0908960272,0.019347695814599997,,,13.0057594775,0.0348616312489
34.0,13.2727197652,0.013619838471899999,0.0,0.733967,13.0175727705,0.0140653237906,12.916025415899998,0.012796483892099999,,,12.8377706226,0.0645316459835
38.0,13.2261938819,0.014919226968399998,0.0,0.779061,12.9429749871,0.0194507926145,12.814244538699999,0.0180531622345,,,,
40.0,13.517320570999999,0.022077514956799996,0.0,0.6340720000000001,13.2502077968,0.0510220540551,13.153101426600001,0.0331272797958,13.0618275118,0.04922736366430001,13.416159423800002,0.0560357029045
44.0,13.6773822223,0.0137173855624,0.0,0.567545,13.424643966400001,0.0229328730574,13.3678497551,0.0184232642783,,,13.1323631527,0.0364337297935
45.0,13.5130521212,0.0146855938479,0.0,0.589116,13.201139957999999,0.0151162164578,13.1642114773,0.014230249470799998,,,13.0703531809,0.027711309364
46.0,13.2988976665,0.016278820596100002,0.0,0.686971,12.9979962655,0.0165353157414,12.9472576441,0.0142331772045,,,,
49.0,13.565625773399999,0.011565033506200001,0.0,0.604627,13.237790716700001,0.0193433881899,13.2203222396,0.0161038297722,,,13.0990971458,0.04925274950019999
51.0,13.5966489219,0.0144366431925,0.0,0.574152,13.377839440799999,0.0326879182574,13.269736633900001,0.028551123737400003,13.3153167274,0.0827259532029,,
54.0,13.280748340999999,0.016010413278,0.0,0.772915,12.9983880125,0.0166458202962,12.9536519737,0.0150083310198,12.7991322925,0.0298858941085,,
56.0,13.6426823439,0.009456038635,0.0,0.568023,13.385774531300001,0.0216410104508,13.3526088336,0.017197383521900002,,,13.2315651451,0.0346193587462
57.0,13.2344369336,0.014829587542,0.0,0.794402,12.995315362100001,0.0181796589627,12.8819073406,0.014364307617600002,,,,
59.0,13.7268656582,0.022803508502,0.0,0.518506,13.4239047093,0.042959283048,13.390882528199999,0.0331071492783,13.2482454608,0.0713348909487,13.41836269,0.0639986979034
63.0,13.2229784978,0.0174451521442,0.0,0.825943,12.8617606916,0.0170146995272,12.868771776300001,0.011972189997399999,,,,
67.0,13.6097891845,0.0143961800489,0.0,0.564451,13.3835923378,0.0155349069303,13.3263738841,0.0154515371404,13.368468223599999,0.0468908306602,,
73.0,13.479601013,0.017590243507900002,0.0,0.5752149999999999,13.2508182875,0.017411681902299997,13.214992911400001,0.0155938021876,,,,
74.0,13.622489353199999,0.00759934207679,0.0,0.503209,13.4566366903,0.0156923548265,13.404819611099999,0.015113459784799999,,,,
79.0,13.3822139774,0.0104801399482,0.0,0.608276,13.1619654635,0.0159373774505,13.122774205299999,0.014854853303399999,,,,
85.0,13.344015996700001,0.011083020045700002,0.0,0.742758,,,,,,,,
97.0,13.3024221452,0.0104841149682,0.0,0.6918979999999999,13.1431242523,0.028995689334800002,13.0343052556,0.0222523407008,12.9636556853,0.0607062599737,12.7019880717,0.0640019530952
102.0,13.3200687797,0.011891873976200002,0.0,0.691396,13.033304043800001,0.0220170388563,12.9933544636,0.020045780936,12.9838444952,0.049279813311300005,13.0557858638,0.0717553714598
104.0,13.7320768645,0.0960620459217,0.0,0.866524,13.625824551900001,0.153538675909,13.4523821304,0.14071987540300002,,,,
