wavelength,dist_ab,err_ab,dist_c,err_c,dist_mean,err_mean
1.22,13.8512350275,0.0255493012646,13.866665493,0.00379097117964,13.8538067717,0.0213004573113
1.63,13.8052050184,0.0383581589601,13.8194036981,0.0208607692079,13.807571465,0.0321536591412
2.19,13.7973917713,0.0268079256287,13.8304934684,0.019663337451,13.8029087208,0.022579039415
3.55,13.8965335246,0.0589117889753,13.9539832922,0.0265719111095,13.9061084859,0.0492925051962
4.493,14.0704236852,0.0589469199973,14.0805873607,0.126716238047,14.0721176312,0.0534700044194
