wavelength,dist_ab,err_ab,dist_c,err_c,dist_mean,err_mean
1.22,13.8455241734,0.0232872263237,13.8499769496,0.0189502561563,13.8477505615,0.0150117214056
1.63,13.8003904239,0.0324757954895,13.8272033737,0.0255601206413,13.8137968988,0.0206639605344
2.19,13.7958352864,0.0252456468869,13.8144287349,0.0210288690058,13.8051320106,0.0164282988955
3.55,13.7503311889,0.0264515689129,13.8380616047,0.0308651734852,13.7941963968,0.0203245198727
4.493,13.7708312102,0.0521525603163,13.8897564007,0.0608458717668,13.8302938055,0.0400690331135
