wavelength,slope_ab,slope_err_ab,zpt_ab,zpt_err_ab,slope_c,slope_err_c,zpt_c,zpt_err_c
0.445,1.25984904323,0.235996502108,19.3921951683,0.00954691570794,2.59356103499,0.431293424075,19.26075,0.0117103547486
0.551,0.158856974461,0.215547867346,19.0653258314,0.00871973441182,0.384104304053,0.652847226889,19.04525,0.0177259823507
0.806,-1.31809757117,0.17236700474,18.6117996412,0.0069728688693,-0.514019043694,0.314574682196,18.69225,0.00854120113948
1.22,-1.573203478,0.414600489028,18.2026702188,0.0167721033632,-1.60331591825,0.86691054867,18.33925,0.0235380938874
1.63,-1.96326168955,0.209549159504,17.992368477,0.00847702380741,-1.43178728314,0.236111959041,18.209,0.00641085391773
2.19,-1.97918482052,0.120558244669,17.8896311889,0.00487701917284,-2.40568395772,0.0451273442066,18.126,0.00122528591112
3.55,-2.34573793028,0.327203253303,17.8696264419,0.0132365619833,-0.449012238418,0.827676063733,18.10225,0.0224728392294
4.493,-2.62589061231,0.575791632101,17.8242500243,0.0232928651646,-2.71786291369,0.711566089799,18.11275,0.0193202276933
