wavelength,slope_ab,slope_err_ab,zpt_ab,zpt_err_ab,slope_c,slope_err_c,zpt_c,zpt_err_c
1.22,-2.55329952678,0.359843830853,13.4410034401,0.0223959624328,-2.10136494604,0.245382865202,13.6410188844,0.01808748459
1.63,-2.41909962622,0.558827222338,13.1851163532,0.0347802914064,-2.45769352867,0.356922567686,13.4676574663,0.0263092214222
2.19,-2.77490213824,0.406922325422,13.1229773769,0.0253260291129,-2.47146788679,0.28998884136,13.4079114554,0.0213754458105
3.55,-2.18282702214,0.453678304501,13.0379440812,0.0282360292303,-2.756360043,0.439405038508,13.3608157708,0.0323891049585
4.493,-2.87807220994,0.886768573506,13.0144748457,0.0551907036143,-2.88602218428,0.867888044579,13.3312279317,0.0639731349146
