id,ra,dec,per,mag_v,mag_b,type,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_j,resid_h,resid_k,resid_3,resid_4,photfeh,photfeh_err,per_old,per_new,feh_s,feh_s_err,feh_r,feh_r_err,feh_rs,feh_rs_err,feh_b,feh_comb,feh_comb_err,clip_j,clip_h,clip_k,clip_3,clip_4
20,13:27:14.05,-47:28:06.3,0.615559,14.579,15.009,0,13.4257694006,0.00424264068712,13.2170215835,0.0102567728301,13.1425045771,0.00725909391346,13.2014106174,0.0150557156324,13.4223697273,0.0299211164082,-0.023085918238,-0.0815907513674,-0.0871654008448,-0.0347216989287,-0.272135375917,,,0.6156,0.615564,-1.52,0.34,,,-1.54,0.34,-1.66,-1.62,0.08,False,False,False,False,False
21,13:26:11.17,-47:25:58.8,0.380812,14.356,14.701,1,13.5864324256,0.00473609074613,13.4042462492,0.00769379259172,13.3716261652,0.00590197706988,13.4411263614,0.00853005381574,13.5779166464,0.01681915898,-0.0870657613114,-0.115261166741,-0.157722512133,-0.13909713032,-0.348039138394,-0.9,0.11,0.3808,0.380809,,,-0.9,0.11,-1.02,0.11,-1.87,-1.16,0.44,False,False,False,False,False
22,13:27:41.04,-47:34:07.6,0.396055,14.547,14.929,1,13.5794101064,0.00348608344389,13.3947714078,0.00470593596783,13.2924309661,0.00486483983978,,,,,-0.121990879899,-0.151739308794,-0.124821193989,,,-1.63,0.17,0.3961,0.396084,-1.6,0.99,-1.63,0.17,-1.82,0.05,-1.51,-1.81,0.09,False,False,False,True,True
23,13:26:46.50,-47:24:39.5,0.51087,14.869,15.312,0,13.9617403051,0.00715648501555,13.8450543321,0.0137623681748,13.6936762507,0.00964761052743,,,,,-0.398676478662,-0.528355660298,-0.454235659792,,,-1.08,0.14,0.5109,0.51087,-1.35,0.58,-1.08,0.14,-1.23,0.05,-0.71,-1.21,0.14,True,True,True,True,True
24,13:27:38.32,-47:34:14.5,0.462278,14.478,14.884,1,13.4284547458,0.00352175776819,13.236835422,0.00391223153144,13.1454169393,0.0040199156984,,,,,-0.136286071169,-0.1748335903,-0.160180389,,,-1.86,0.03,0.4623,0.462222,,,-1.86,0.03,-2.08,0.03,-1.14,-2.07,0.16,False,False,False,True,True
25,13:26:25.52,-47:28:23.3,0.588364,14.478,14.934,0,13.610192739,0.00624332977398,13.361232083,0.0155579115279,13.2565217109,0.009542667342,13.2975656035,0.0252342210801,13.1910336278,0.0138240528285,-0.168634917737,-0.18186402482,-0.156558482822,-0.0843687682212,0.00541428648631,-1.57,0.14,0.5884,0.588354,,,-1.57,0.14,-1.76,0.14,-1.88,-1.79,0.07,False,False,False,False,False
26,13:26:23.64,-47:26:59.4,0.78472,14.502,15.05,0,13.2726954931,0.00496235831032,13.007737763,0.0119936325699,12.9292908447,0.00761759658802,,,,,-0.0788986272044,-0.108398366641,-0.113733680481,,,-1.68,0.1,0.7847,0.784721,-1.81,0.12,-1.68,0.1,-1.86,0.04,-1.36,-1.85,0.11,False,False,False,True,True
27,13:26:26.04,-47:28:16.5,0.61568,14.757,15.275,0,13.4507350131,0.00735555345754,13.091311794,0.0170786578968,13.0903300393,0.0127964838921,13.3120906123,0.0172848631498,,,-0.0482206300305,0.0439279158125,-0.0351849729848,-0.145603998384,,-1.5,0.26,0.6157,0.615693,-1.16,0.14,-1.5,0.26,-1.29,0.3,-1.24,-1.26,0.03,False,False,False,False,True
30,13:26:15.94,-47:29:56.0,0.40441,14.483,14.827,1,13.5244195944,0.00613844895357,13.2992126821,0.0131669303771,13.2642898444,0.00854644175471,13.318578808,0.0115732867034,13.246698724,0.0166283706249,-0.0893127428649,-0.0806235586757,-0.121304375583,-0.0859533080446,-0.0946066618264,-1.75,0.17,0.4044,0.404235,-1.62,0.28,-1.75,0.17,-1.87,0.2,-1.65,-1.79,0.15,False,False,False,False,False
32,13:27:03.32,-47:21:38.9,0.620373,14.53,14.962,0,13.5310755235,0.00259138530091,13.2973121654,0.00532551510289,13.1538199238,0.00519481579184,,,,,-0.135094165588,-0.169456324001,-0.106174150371,,,-1.53,0.16,0.6204,0.620368,,,-1.53,0.16,-1.71,0.16,-1.77,-1.73,0.04,False,False,False,True,True
33,13:25:51.60,-47:29:05.8,0.602324,14.544,14.932,0,13.3588694592,0.00424182219754,13.1167825664,0.00622048586884,13.1170538802,0.00558519869337,,,13.1390975261,0.0205079680347,0.0625137067004,0.0397833447041,-0.0402492418719,,0.0333668882472,-2.09,0.23,0.6023,0.602333,-1.58,0.42,-2.09,0.23,-2.16,0.44,-1.66,-1.78,0.3,False,False,False,True,False
34,13:26:07.21,-47:33:10.4,0.733967,14.481,14.985,0,13.2781305145,0.00393170870403,13.0292027417,0.00406030923836,12.9234697116,0.00369402670988,13.4910976703,0.0323600651802,13.0396919841,0.0320901765605,-0.0268089990678,-0.0648468434169,-0.0418797088927,-0.505492982835,-0.0693957609959,-1.71,0.0,0.734,0.733955,,,-1.71,0.5,-1.91,0.5,-1.72,-1.76,0.11,False,False,False,True,False
35,13:26:53.21,-47:22:34.7,0.386841,14.563,14.898,1,13.5928798488,0.00332707746295,13.5137321905,0.00680634916008,13.3668087232,0.00663063177818,,,,,-0.110301811604,-0.243138875064,-0.171433274596,,,-1.56,0.08,0.3868,0.386833,-1.63,0.36,-1.56,0.08,-1.74,0.03,-1.42,-1.74,0.05,False,False,False,True,True
36,13:27:10.11,-47:15:29.8,0.379846,14.55,99.999,1,13.5398351079,0.00208166599947,13.3887413324,0.00549431524396,13.3214964396,0.00417083125208,,,,,-0.0377537936148,-0.0967823789984,-0.104596854233,,,-1.49,0.23,0.3798,0.379813,,,-1.49,0.23,-1.67,0.23,-1.86,-1.76,0.14,False,False,False,True,True
