id,type,per,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_m4_j,resid_m4_h,resid_m4_k,resid_m4_3,resid_m4_4,photfeh,photfeh_err,spectfeh,spectfeh_err
72.0,1.0,0.384522,13.5540452926,0.00977667291737,13.3386036634,0.0166883192683,13.3114983141,0.0144048602909,,,,,,,,,,-1.32,0.22,,
73.0,0.0,0.575215,13.479601013,0.0175902435079,13.2508182875,0.0174116819023,13.2149929114,0.0155938021876,,,,,,,,,,-1.5,0.09,,
74.0,0.0,0.503209,13.6224893532,0.00759934207679,13.4566366903,0.0156923548265,13.4048196111,0.0151134597848,,,,,,,,,,-1.83,0.36,,
75.0,1.0,0.422174,13.4100958543,0.0113321077769,13.1754371261,0.0280639151462,13.1372704984,0.025179356624,,,,,,,,,,-1.49,0.08,-1.82,0.99
76.0,1.0,0.337962,13.6341246218,0.0117933597136,13.4882926556,0.0174212513902,13.4485082039,0.0195042730361,,,,,,,,,,-1.45,0.13,,
77.0,1.0,0.426294,13.474240598,0.0132539302347,13.2636376357,0.0283343137085,13.1991759903,0.021035683968,,,,,,,,,,-1.81,0.0,-1.84,0.43
79.0,0.0,0.608276,13.3822139774,0.0104801399482,13.1619654635,0.0159373774505,13.1227742053,0.0148548533034,,,,,,,,,,-1.39,0.18,,
81.0,1.0,0.389392,13.5415602258,0.0125,13.3259094557,0.0330681115276,13.2864553433,0.0250582654361,13.2483988213,0.0759764217811,,,,,,,,-1.72,0.31,-1.99,0.43
82.0,1.0,0.335758,13.5787920504,0.0159138304628,13.3244023661,0.0239687296284,13.2957082796,0.0179745190014,,,13.8266597492,0.103583299812,,,,,,-1.56,0.2,-1.71,0.56
83.0,1.0,0.356612,13.6026589078,0.00986576572463,13.4309404003,0.0235549004102,13.3695790684,0.0222972345071,,,,,,,,,,-1.3,0.22,,
84.0,0.0,0.579873,,,12.8333012522,0.0172385227519,12.7810780999,0.0157056253192,,,,,,,,,,-1.47,0.1,,
85.0,0.0,0.742758,13.3440159967,0.0110830200457,,,,,,,,,,,,,,-1.87,0.31,,
86.0,,,,,,,,,,,,,,,,,,-1.81,0.18,-1.99,0.23
87.0,,,,,,,,,,,,,,,,,,-1.44,0.19,,
88.0,,,,,,,,,,,,,,,,,,-1.65,0.23,,
89.0,,,,,,,,,,,,,,,,,,-1.37,0.28,-1.66,0.23
90.0,,,,,,,,,,,,,,,,,,-2.21,0.0,-1.78,0.31
91.0,,,,,,,,,,,,,,,,,,-1.44,0.17,-1.81,0.3
94.0,1.0,0.253936,14.0698050312,0.0244216434063,13.9336239771,0.0220944940351,13.8702684087,0.027440845468,13.8582275074,0.0376308827073,13.7991270128,0.02889059824,-0.0558435503064,-0.056518730704,-0.0498972997171,-0.0918230237662,-0.0144942252358,-1.0,0.11,,
95.0,1.0,0.405067,13.4966664334,0.014634434279,13.2685945812,0.0172094935041,13.2641200116,0.0165705562168,,,13.1780822114,0.0236026128497,,,,,,-1.84,0.55,,
96.0,,,,,,,,,,,,,,,,,,-1.22,0.0,,
97.0,0.0,0.691898,13.3024221452,0.0104841149682,13.1431242523,0.0289956893348,13.0343052556,0.0222523407008,12.9636556853,0.0607062599737,12.7019880717,0.0640019530952,0.0796673244467,-0.0311418154227,0.0188555580606,-0.00842421475038,0.240244051372,-1.56,0.37,-1.74,0.17
98.0,,,,,,,,,,,,,,,,,,-1.05,0.12,,
99.0,,,,,,,,,,,,,,,,,,-1.66,0.14,-1.91,0.25
100.0,,,,,,,,,,,,,,,,,,-1.58,0.14,,
101.0,1.0,0.340946,13.7081729229,0.0164924225025,13.4842887219,0.0302998899888,13.4358661321,0.022721135535,,,,,,,,,,-1.88,0.32,,
102.0,0.0,0.691396,13.3200687797,0.0118918739762,13.0333040438,0.0220170388563,12.9933544636,0.020045780936,12.9838444952,0.0492798133113,13.0557858638,0.0717553714598,0.0626451260796,0.0793841540574,0.0605231434812,-0.0278659708215,-0.112811415088,-1.84,0.13,-1.65,0.16
103.0,1.0,0.328852,13.6203420123,0.0175499287748,13.4090814115,0.0400052079943,13.3765590742,0.0335459883344,12.9596759877,0.0709042781972,13.0241558143,0.0662388355373,,,,,,-1.92,0.11,-1.78,0.27
104.0,0.0,0.866524,13.7320768645,0.0960620459217,13.6258245519,0.153538675909,13.4523821304,0.140719875403,,,,,,,,,,-1.83,0.18,,
105.0,1.0,0.335328,13.7676384652,0.0143003496461,13.6152040357,0.0200790105998,13.5330163158,0.0179606050381,,,,,,,,,,-1.24,0.18,,
106.0,,,,,,,,,,,,,,,,,,-1.5,0.23,-1.9,0.26
107.0,0.0,0.514102,13.5966128567,0.0170880074906,13.3396573977,0.0378230529351,13.3007444591,0.0300430247035,13.5351314554,0.218683942407,13.350743842,0.0764095325641,,,,,,-1.36,0.11,,
108.0,,,,,,,,,,,,,,,,,,-1.93,0.23,-1.63,0.13
109.0,,,,,,,,,,,,,,,,,,-1.51,0.25,-1.7,0.07
110.0,,,,,,,,,,,,,,,,,,-2.14,0.16,-1.65,0.52
111.0,,,,,,,,,,,,,,,,,,-1.66,0.04,-1.79,0.09
112.0,,,,,,,,,,,,,,,,,,-1.81,0.26,,
113.0,,,,,,,,,,,,,,,,,,-1.65,0.34,,
