id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,mag_v,merr_v,mag_b,merr_b
3.0,13.247357366800001,0.017418859511099997,0.0,0.841258,12.9816040474,0.0183620986455,12.881873401300002,0.0174355957742,12.8408674221,0.0394620070448,12.7077907694,0.03574329774,14.346746834137393,0.0036219115454747433,14.8098277961983,0.003169647719647511
4.0,13.475108934000001,0.0159478316185,0.0,0.62732,13.218907453800002,0.0210436055212,13.132745341300001,0.0198934662641,13.0296299499,0.0359246897458,13.026025483699998,0.034838915023300006,14.441223328127633,0.003803551639736488,14.947334507683998,0.00363164028901696
5.0,13.6999254242,0.0171731379388,0.0,0.515274,13.548892523,0.0196977156036,13.506596721500001,0.026591038590700004,13.387148614700001,0.0428631543403,13.3400494474,0.0297895395511,14.79132025119139,0.004687178881637165,15.182770601042675,0.0044349604476461146
7.0,13.3326552658,0.00925562891794,0.0,0.713,13.1508866159,0.0308193662059,13.035816674100001,0.0183620986455,,,,,,,,
8.0,13.5047993206,0.014634434279,0.0,0.521329,13.258041088199999,0.0165,13.223151406700001,0.013671747023200002,,,,,14.664001079710404,0.004575940757669559,15.029687353366937,0.00409025167076046
9.0,13.7757272401,0.0166458202962,0.0,0.5234800000000001,13.5339313928,0.0207846096908,13.469579702,0.016219843813499998,13.314634390899998,0.0364760195197,13.2789743718,0.0389015852291,14.706233328039904,0.004588479651918972,15.10236882292493,0.004031128874149275
10.0,13.578782132799999,0.0135339080338,1.0,0.374976,13.394638578699999,0.0228819433907,13.345431550399999,0.018801595677,13.342300483699999,0.0366242178529,13.1681064141,0.0374277080962,14.484994851780556,0.003837151132488701,14.889273891825368,0.0033543625701089996
11.0,13.4811991765,0.0144279820719,0.0,0.564789,13.3072668097,0.0277308492477,13.2187967503,0.0250116639457,13.049792292100001,0.0580222658411,,,14.525372284229297,0.004140276789284974,14.872861125616048,0.0032807252086599456
12.0,13.5902189499,0.0184390889146,1.0,0.386769,13.3786481568,0.0280935935758,13.3045621063,0.0249365862406,13.168237447200001,0.048078928163300005,13.4479778753,0.088424167134,14.527562066202563,0.003973641970343399,14.92262070988273,0.0033208987931471565
13.0,13.3525169876,0.0192591969372,0.0,0.669039,13.080748143900001,0.0222298597986,13.0578864696,0.016618263046,12.9176301873,0.0323135678418,12.859655554200002,0.030915206614200007,14.471952758298201,0.0038797377314536185,14.978460886065355,0.003516824641001532
14.0,13.588188079000002,0.0108282039139,1.0,0.377114,13.3428275604,0.0195021366351,13.3651494266,0.016028620235899998,,,13.298749371800001,0.044957387231300015,14.494728812555364,0.003865561740234861,14.875136245466859,0.0033618278945319064
15.0,13.244973271800001,0.0179953697748,0.0,0.810642,13.0199288531,0.030584582172500006,12.953687623599999,0.0250166611148,13.1490070259,0.0838475799691,,,14.378621439001392,0.0036947852766122586,14.91209787266834,0.0034355088543671915
16.0,13.6803947253,0.015367715076299996,1.0,0.330202,13.501536225799999,0.0215831724576,13.4369064049,0.0176517232398,,,,,14.54133912888992,0.0038870319649618604,14.899402150976515,0.0033727784566684035
18.0,13.3714167251,0.0101693985401,0.0,0.621689,13.1311042794,0.0238414904456,13.1001916825,0.0164848415218,13.005601757300001,0.0425959700754,,,14.598754292407188,0.004116041659385743,14.942920464866136,0.003962179152482082
19.0,,,1.0,0.299551,,,,,,,,,14.825520235838132,0.004262809232559146,15.18756060049817,0.0038744418223827094
20.0,13.410200715699997,0.014696938456700004,0.0,0.615559,13.210078414000002,0.035530503327,13.125257471800001,0.0251462389501,13.0598012681,0.039404948927800006,12.9398495231,0.0293072800967,14.621827275690173,0.00445333221668537,15.009140483392162,0.003763511812658645
21.0,13.577605673099999,0.0164062996031,1.0,0.380812,13.3987922702,0.0266520793435,13.3614236395,0.0204450483003,13.301191893299999,0.047323355755900014,13.199636610699999,0.032267114322,14.353842750010159,0.0036133124919782273,14.693341317739549,0.002972092416687835
