wavelength,slope_ab,slope_err_ab,zpt_ab,zpt_err_ab,sig_ab,slope_c,slope_err_c,zpt_c,zpt_err_c,sig_c
1.22,-2.08458352854,0.114408802388,13.4381228273,0.00833043778706,0.0630289571687,-2.11903865665,0.128938651426,13.6441771441,0.00769701030684,0.0675287870681
1.63,-2.26926584208,0.160012182681,13.1840714903,0.0116650177699,0.0864510148963,-2.4395498329,0.18386509843,13.4775439387,0.0112402881452,0.0883791221532
2.19,-2.38834942077,0.109630083824,13.1063490617,0.00796855151736,0.0595884350264,-2.4584783973,0.132443053695,13.4057396861,0.00799585457594,0.0668110336837
3.55,-2.24696409554,0.231314807653,13.1323609015,0.0172704730096,0.08994354808,-3.05816234421,0.315536242202,13.4913405854,0.0215059901839,0.0961091962613
4.493,-2.6049643374,0.557702564501,13.1827437291,0.0404239867219,0.180724865947,-2.29326315473,0.732005165633,13.45770782,0.0430425822695,0.177082420223
