wavelength,slope_ab,slope_err_ab,zpt_ab,zpt_err_ab,slope_c,slope_err_c,zpt_c,zpt_err_c
1.22,-2.55329952386,0.359843921729,13.4410034465,0.0223959627822,-2.10136493852,0.245382881716,13.6410188852,0.0180874847807
1.63,-2.41909963601,0.558827312871,13.1851163579,0.0347802937135,-2.45769346721,0.356922639707,13.4676574667,0.0263092215645
2.19,-2.77490204345,0.406922347291,13.1229773782,0.0253260302436,-2.47146789801,0.289988851545,13.4079114554,0.0213754457258
3.55,-2.18282673255,0.453678245849,13.0379440873,0.0282360294481,-2.7563599897,0.439405069493,13.3608157765,0.0323891053488
4.493,-2.87807213396,0.886768398472,13.0144748367,0.0551907000385,-2.88602217343,0.867888058524,13.3312279318,0.0639731349852
