id,ra,dec,per,mag_v,mag_b,type,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_j,resid_h,resid_k,resid_3,resid_4,photfeh,photfeh_err
3,13:25:56.15,-47:25:53.8,0.841258,14.389,14.907,0,13.2748342975,0.00502839161385,13.0005564067,0.00530068129793,12.9150666729,0.00503322295685,12.895954617,0.0199205741641,,,0.214943772261,0.270860809012,0.24884574043,-0.0706402120331,,-1.54,0.05
4,13:26:12.93,-47:24:18.8,0.62732,14.453,14.905,0,13.4990947093,0.00460374243898,13.2472240484,0.0060747656562,13.1426586558,0.00574274905134,13.0501617174,0.0134205260725,13.233315077,0.0183382788799,0.0971037990949,0.108723707753,0.0890356764719,-0.0610930473529,0.0803508475212,-1.74,0.05
5,13:26:18.33,-47:23:12.4,0.515274,14.745,15.235,0,13.782586924,0.00495745790591,13.6274790693,0.00568624070308,13.5493788646,0.00767617164419,,,13.7537561903,0.0310022638929,0.15121143644,0.214867656858,0.235995713432,,0.306789904567,-1.35,0.08
7,13:27:00.90,-47:14:00.5,0.713,14.59,99.999,0,13.36852206,0.00267186992365,13.2046095534,0.00889678468761,13.0506295652,0.00530068129793,,,,,0.115784962888,0.244465243259,0.166024906911,,,-1.46,0.08
8,13:27:48.45,-47:28:20.3,0.521329,14.683,15.061,0,13.5299220988,0.00422459728521,13.2786892235,0.00476313972081,13.2381426091,0.00394669341207,,,,,-0.0878336592553,-0.117646819886,-0.0598172589619,,,-1.91,0.28
9,13:25:59.58,-47:26:24.0,0.52348,14.756,15.274,0,13.7842124319,0.00480523441445,13.5434915538,0.006,13.4764853093,0.00468226559596,13.3976411723,0.010443696707,13.7167572961,0.029846081535,0.171256947272,0.152891763955,0.183961377101,0.197178318003,0.293399915555,-1.49,0.06
10,13:26:06.99,-47:24:36.6,0.374976,14.484,14.902,1,13.5846380674,0.00390690272324,13.4112182904,0.00660544808809,13.3509416778,0.00542755316264,13.404833456,0.00722464515723,,,0.0296234553805,0.0908628969304,0.0809212757143,0.040324044796,,-1.66,0.1
11,13:26:30.59,-47:23:01.6,0.564789,14.534,14.914,0,13.4937720734,0.00416499966653,13.3407778792,0.00800520663902,13.2404849768,0.00722024545597,13.214357193,0.00943678393374,,,-0.0306353627259,0.0559916569456,0.0482348143552,0.0513376026317,,-1.67,0.13
12,13:26:27.21,-47:24:06.2,0.386769,14.522,14.94,1,13.5974421757,0.00532290647422,13.4089558463,0.00810992190673,13.3129540849,0.00719857238933,,,13.3993917572,0.0105256347719,0.0727715691323,0.127106158246,0.0790546734856,,0.00195401544363,-1.53,0.14
13,13:25:58.18,-47:25:21.6,0.669039,14.465,14.951,0,13.3945885991,0.00555965126804,13.1016307321,0.00641720776939,13.0687143731,0.00479727932154,12.9084392511,0.0165565934744,13.1634669369,0.0241250977019,0.0676597445907,0.0528284033033,0.100093326818,-0.171074911686,0.106709692981,-1.91,0.0
14,13:25:59.74,-47:39:09.6,0.377114,14.514,14.895,1,13.5971273319,0.00312583322225,13.3484255448,0.00562978191802,13.3840473371,0.00462706410397,,,13.4156913031,0.0114913522932,0.0476840972697,0.0351400754657,0.120659008391,,-0.0152367944357,-1.71,0.13
15,13:26:27.11,-47:24:38.0,0.810642,14.397,14.927,0,13.2609633135,0.00519481579184,13.0537361677,0.00882900837517,12.975903342,0.00722168801443,12.8597036347,0.0180583094021,12.9161055602,0.0236379305003,0.157853631687,0.272394337004,0.260740080155,-0.125166766904,0.146217197181,-1.64,0.39
16,13:27:37.69,-47:37:34.8,0.330202,14.562,14.917,1,13.6879340205,0.00443627721807,13.5299059901,0.00623052521417,13.4415440106,0.00509561358207,,,,,0.00831446121892,0.0514303576876,0.0231959876017,,,-1.29,0.08
18,13:27:45.11,-47:24:56.6,0.621689,14.57,14.971,0,13.3836579747,0.0029356524923,13.142258025,0.00688244546332,13.1148314115,0.00475876384509,,,,,-0.028844921143,-0.00880397817512,0.0493044269979,,,-1.78,0.28
19,13:27:30.14,-47:28:05.2,0.299551,14.83,15.187,1,13.8947961251,0.00328823660949,13.7625514572,0.00530984410736,13.6338064167,0.00502079011046,13.8462253442,0.00724624735498,14.7427475277,0.0334386171876,0.119712217676,0.162934201838,0.101819248923,0.164777897135,1.00677361948,-1.22,0.05
20,13:27:14.05,-47:28:06.3,0.615559,14.579,15.009,0,13.4257694006,0.00424264068712,13.2170215835,0.0102567728301,13.1425045771,0.00725909391346,13.2014106174,0.0150557156324,13.4223697273,0.0299211164082,0.00171418703902,0.0521547368262,0.0638954923531,0.0808257821607,0.241125695268,,
21,13:26:11.17,-47:25:58.8,0.380812,14.356,14.701,1,13.5864324256,0.00473609074613,13.4042462492,0.00769379259172,13.3716261652,0.00590197706988,13.4411263614,0.00853005381574,13.5779166464,0.01681915898,0.0465515945355,0.103095206066,0.119620759901,0.09841222519,0.159916054849,-0.9,0.11
22,13:27:41.04,-47:34:07.6,0.396055,14.547,14.929,1,13.5794101064,0.00348608344389,13.3947714078,0.00470593596783,13.2924309661,0.00486483983978,,,,,0.0779887226384,0.142424341801,0.0862070361387,,,-1.63,0.17
23,13:26:46.50,-47:24:39.5,0.51087,14.869,15.312,0,13.9617403051,0.00715648501555,13.8450543321,0.0137623681748,13.6936762507,0.00964761052743,,,,,0.320357826208,0.420484717625,0.368960961087,,,-1.08,0.14
24,13:27:38.32,-47:34:14.5,0.462278,14.478,14.884,1,13.4284547458,0.00352175776819,13.236835422,0.00391223153144,13.1454169393,0.0040199156984,,,,,0.0785430900818,0.176750019177,0.119547626067,,,-1.86,0.03
