id,ra,dec,per,mag_v,mag_b,type,mag_j,merr_j,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_j,resid_h,resid_k,resid_3,resid_4,photfeh,photfeh_err
56,13:25:55.53,-47:37:44.1,0.568023,14.762,15.229,0,13.6899283387,0.00272972322569,13.4622717969,0.00624722160466,13.3825578908,0.00496445700287,,,13.3854744428,0.014631135647,0.12228278141,0.162830730048,0.143381391644,,0.124168327603,-1.26,0.15
57,13:27:49.38,-47:36:50.5,0.794402,14.471,14.986,0,13.2561948315,0.00428093317968,13.0910807941,0.00524801549794,12.8965378662,0.00414661843487,,,,,0.0503704253591,0.158930770805,0.0370978156511,,,-1.89,0.14
58,13:26:13.05,-47:24:03.0,0.36988,14.474,14.789,1,13.6757352679,0.00498330546258,13.517283434,0.0051706973525,13.426040898,0.00594535299391,,,13.5750662228,0.0135128334179,0.0686796456382,0.0920758295163,0.0674291666168,,0.117016176185,-1.37,0.18
59,13:26:18.43,-47:29:46.7,0.518506,14.741,15.253,0,13.7397258811,0.00658280588604,13.4325870184,0.012401276816,13.4081054536,0.00955721077395,,,13.4278362995,0.0215487657059,0.0736930470435,0.0332712884955,0.0656701069482,,0.0626693284816,-1.0,0.28
62,13:26:26.59,-47:27:55.4,0.61977,14.474,14.894,0,13.4730623559,0.00794162731715,13.1052532886,0.0207201927812,13.097957265,0.0145408906192,13.0872795169,0.0135015219176,,,-0.000536320235922,-0.0987191274759,-0.0425156936396,-0.0838315019334,,-1.62,0.29
63,13:25:07.96,-47:36:54.1,0.825943,14.48,14.9,0,13.2366616414,0.00503598164325,12.8755582445,0.0049117206761,12.8806138546,0.00345607355889,,,,,0.0728370934538,-0.0139569806447,0.0652532530889,,,-1.73,0.09
64,13:26:02.22,-47:36:19.2,0.344497,14.555,14.898,1,13.6465558534,0.00378410417991,13.4607673947,0.00633388155522,13.4191883182,0.00622941053034,,,13.4289958286,0.0117134030047,-0.0239196035334,-0.0348421484257,-0.0129696765676,,-0.0921054699693,-1.46,0.23
66,13:26:33.08,-47:22:25.2,0.407266,14.488,14.869,1,13.5481657685,0.00303223423311,13.3819841402,0.00627550352119,13.2743322149,0.00568868272196,13.2742549746,0.00704359328852,,,0.0270052680459,0.0521281418263,0.0153307282394,-0.0137558162939,,-1.68,0.34
67,13:26:28.62,-47:18:46.9,0.564451,14.681,15.118,0,13.6566269688,0.00415581921326,13.4224127335,0.00448454134902,13.3555515925,0.00446047456369,13.4414690008,0.0163970123629,,,0.0821767010987,0.116064084877,0.109233452904,0.193711880502,,-1.1,0.0
68,13:26:12.80,-47:19:35.7,0.534609,14.242,14.671,1,13.2712173376,0.0060005786758,13.024311165,0.00441823871394,12.9770588648,0.00420317340431,13.0681165994,0.0126393585515,,,-0.00723969345468,-0.0361213186426,-0.000485986453196,0.0988807742351,,-1.6,0.01
69,13:25:11.02,-47:37:33.5,0.635221,14.49,14.85,0,,,,,13.1282226622,0.00393347457374,,,,,,,0.0156270386993,,,-1.52,0.14
70,13:27:27.76,-47:33:42.7,0.390687,14.558,14.932,1,13.5352991166,0.00377951349015,13.292653057,0.00849305271645,13.2599804372,0.00643341968854,,,,,-0.0229354548599,-0.0783586221742,-0.0420148447778,,,-1.94,0.15
71,13:27:08.08,-47:27:51.6,0.357544,14.532,14.902,1,13.5970829206,0.00597506392341,13.3049443283,0.0181100033744,13.3393079383,0.0102628645557,,,13.1352597684,0.00889847247966,-0.0402317403747,-0.15385363475,-0.0543943801599,,-0.35287345777,,
72,13:27:33.11,-47:16:22.9,0.384522,14.48,14.75,1,13.5610513822,0.00282228237031,13.3582784017,0.00481750281093,13.3206042487,0.00415832498329,,,,,-0.0113721368529,-0.0284843342692,0.00215442876526,,,-1.32,0.22
73,13:25:53.75,-47:16:10.8,0.575215,14.49,14.78,0,13.5084516053,0.00507786591219,13.2837114327,0.00502631961667,13.2266955691,0.00450154294536,,,,,-0.0456219550326,-0.00195246023643,0.0017630739468,,,-1.5,0.09
74,13:27:07.22,-47:17:33.9,0.503209,14.626,14.941,0,13.6796992899,0.00219374109685,13.4902024627,0.00452999264164,13.4459975722,0.00436288003757,,,,,-0.018635881457,0.0580960594511,0.0696604627319,,,-1.83,0.36
75,13:27:19.70,-47:18:46.5,0.422174,14.476,14.848,1,13.4181031047,0.00327129773773,13.193626727,0.00810135448209,13.1440682208,0.00726865416245,,,,,-0.0709867329798,-0.100627840929,-0.0777417874607,,,-1.49,0.08
76,13:26:57.23,-47:20:07.7,0.337962,14.517,14.856,1,13.6393600708,0.00340444970264,13.5223805922,0.00502908208987,13.4535805986,0.00563039864387,,,,,-0.048200152919,0.00780536256338,0.00160986284407,,,-1.45,0.13
77,13:27:20.89,-47:22:05.6,0.426294,14.569,14.948,1,13.4794012594,0.00382608009442,13.296747441,0.00817941182346,13.23340688,0.00607247890075,,,,,-0.00102510748243,0.0121101346523,0.0216436640147,,,-1.81,0.0
79,13:28:24.99,-47:29:25.2,0.608276,14.6,99.999,0,13.4115017175,0.00302535581011,13.1992115986,0.00460072458061,13.148116156,0.00428822677676,,,,,-0.0822896513907,-0.0252587766764,-0.013549321126,,,-1.39,0.18
81,13:27:36.68,-47:24:48.3,0.389392,14.608,15.062,1,13.5478110784,0.00360843918244,13.335860941,0.00954594154602,13.2969391825,0.00723369814748,13.3067719178,0.0106285241291,,,-0.0133853108308,-0.038438632475,-0.00849083927182,-0.0338233668561,,-1.72,0.31
82,13:27:35.61,-47:26:30.3,0.335758,14.563,14.948,1,13.5887334942,0.00459392715078,13.3511006671,0.00691917625155,13.3019155245,0.00518879669202,13.5334269219,0.0264443587082,,,-0.104663336542,-0.169953741356,-0.156823766229,0.0191950950209,,-1.56,0.2
83,13:27:08.42,-47:21:34.1,0.356612,14.585,14.913,1,13.6104312295,0.00284800124844,13.4772499202,0.00679971404628,13.3758709982,0.00643665717244,,,,,-0.029211789833,0.0158672619498,-0.0205314543419,,,-1.3,0.22
84,13:24:47.45,-47:29:56.5,0.579873,14.27,99.999,0,,,12.8849950208,0.00497633287561,12.8082969569,0.00453382350291,,,,,,-0.391837500709,-0.407504921864,,,-1.47,0.1
85,13:25:06.49,-47:23:34.0,0.742758,14.47,99.999,0,13.3584835487,0.00319939230341,,,,,,,,,0.0801505826632,,,,,-1.87,0.31
86,13:27:15.19,-47:26:11.1,0.647844,14.541,14.983,0,13.4631672224,0.00649037749287,13.1618981545,0.0168446743974,13.0843376711,0.0124485050419,13.1162629327,0.0190409287353,,,0.0373559336078,0.00643555967313,-0.00598174427524,-0.0185301968246,,-1.81,0.18
87,13:26:57.47,-47:25:35.4,0.396488,14.593,15.014,1,13.3927414527,0.015954361995,13.1134683543,0.0237862296765,13.0707767698,0.0306225906082,13.0427882084,0.00716490043225,,,-0.152344922181,-0.242947598891,-0.215970904964,-0.276647637189,,-1.44,0.19
88,13:26:55.91,-47:25:16.3,0.690211,14.5,14.934,0,12.7102051431,0.00832165848855,12.4052621182,0.0157962284528,12.1716909871,0.0174180621451,12.3383213595,0.0145048712135,,,-0.647274175579,-0.680835486406,-0.846913052945,-0.744540223548,,-1.65,0.23
89,13:26:45.98,-47:26:01.0,0.37511,14.635,15.004,1,13.7455530605,0.00899382504215,13.6627008639,0.0202285551744,13.4362715344,0.0149166666667,13.5985695627,0.0125094542979,,,0.151022651645,0.251397415905,0.0921849535306,0.214192246458,,-1.37,0.28
90,13:26:45.76,-47:26:23.4,0.603404,14.525,15.005,0,13.5166407284,0.00797609274993,13.1589463906,0.0414464178857,13.1113530417,0.0205969927686,,,,,0.0141748150389,-0.074329668039,-0.0594164933286,,,-2.21,0.0
91,13:26:50.61,-47:26:15.6,0.895225,14.335,14.881,0,13.0581690141,0.00604611904907,12.7369963405,0.0120476484566,12.7293425681,0.0110453610172,14.1269607176,0.0340592143463,,,-0.0187681187793,-0.0643179343946,0.00517154553237,1.25730811325,,-1.44,0.17
94,13:25:57.06,-47:22:46.1,0.253936,14.764,15.068,1,14.1010139291,0.00704992119735,13.9585813857,0.00637813103938,13.8778096007,0.00792148975888,13.9754928126,0.00517486122324,,,0.158455706422,0.160934565456,0.130124596828,0.134003965572,,-1.0,0.11
95,13:25:24.95,-47:28:53.2,0.405067,14.558,14.933,1,13.5072974468,0.00422459728521,13.2830076983,0.0049679528536,13.2682875397,0.00478350754619,,,13.2363893721,0.00933162442408,-0.0186927402283,-0.0522097031682,0.00368519641958,,-0.141066374511,-1.84,0.55
96,13:26:39.31,-47:27:03.0,0.624527,14.344,14.927,0,,,,,,,13.0431064178,0.0266947331839,,,,,,-0.121736391237,,-1.22,0.0
97,13:27:08.49,-47:25:30.9,0.691898,14.534,14.959,0,13.325529068,0.00302650329956,13.1567297652,0.00837033452139,13.0530244222,0.00642369744687,13.0771058445,0.0248630757356,,,-0.0293169648596,0.073305255557,0.037184053107,-0.00375447025925,,-1.56,0.37
98,13:27:05.85,-47:26:56.5,0.280566,14.782,15.152,1,13.8816711676,0.00962346668883,13.6327148495,0.018747592438,13.6541055488,0.0153081768274,13.2706917134,0.0123531942196,13.5920323212,0.0218955711333,0.0280757183827,-0.0661749848418,0.00958826212951,-0.453950410624,-0.111124714841,-1.05,0.12
99,13:27:02.16,-47:27:48.8,0.766181,14.244,14.714,0,13.0790040463,0.00630916441025,12.6320393827,0.015983498435,12.6664376442,0.0137158667243,,,12.6671815085,0.0233201390943,-0.165837719019,-0.339717851294,-0.233951680213,,-0.253362272392,-1.66,0.14
100,13:27:04.04,-47:27:33.4,0.552745,14.789,15.378,0,13.5957118865,0.00926387847742,13.2252788918,0.02201956201,13.2132075684,0.0186978905524,,,,,-0.00134418943726,-0.104017312186,-0.0568356887307,,,-1.58,0.14
101,13:27:30.24,-47:29:51.0,0.340946,14.61,14.978,1,13.7143702456,0.0047609522857,13.5085911321,0.00874682482072,13.4405619522,0.00655902685871,,,,,0.034651852241,0.0027210664346,-0.00231482542665,,,-1.88,0.32
102,13:27:22.11,-47:30:12.3,0.691396,14.554,15.002,0,13.3403672013,0.00343288832067,13.0534046869,0.00635577165522,13.002396202,0.00578671850975,13.1218992586,0.0311730768099,13.5301228932,0.053697062243,-0.0152617458859,-0.030814572909,-0.0142658468232,0.0404439375551,0.492628507504,-1.84,0.13
103,13:27:14.29,-47:28:36.3,0.328852,14.538,14.865,1,13.625594638,0.00506622805119,13.4328558269,0.0115485088022,13.3819620968,0.00968389269756,,,,,-0.0863418665127,-0.10877935068,-0.0982771511158,,,-1.92,0.11
104,13:28:07.76,-47:33:44.9,0.866524,14.515,15.05,0,13.8523912106,0.0277307240359,14.3020090598,0.054284119455,13.8676808431,0.040622328972,,,,,0.74030479899,1.46501413101,1.10662015216,,,-1.83,0.18
105,13:27:46.02,-47:32:43.9,0.335328,14.746,15.12,1,13.7773580412,0.00412815535883,13.6247257609,0.00579631108743,13.5393379673,0.00518478007677,,,,,0.0828180239504,0.10240230867,0.0792729541618,,,-1.24,0.18
106,13:26:59.19,-47:28:12.5,0.569903,14.518,14.942,0,13.5740668682,0.00842120339777,13.2812089898,0.0237527776154,13.2296068665,0.0149807747167,13.2768880215,0.0211136474772,,,0.00998556963164,-0.0146139350465,-0.00582889239047,0.0370112038119,,-1.5,0.23
107,13:27:14.05,-47:30:57.9,0.514102,14.864,15.232,0,13.6084278458,0.00493288286232,13.3519757507,0.0109185748968,13.3271570208,0.00867267419991,,,,,-0.0668060819977,-0.0566801720355,-0.0249350047095,,,-1.36,0.11
108,13:27:04.71,-47:29:25.7,0.594458,14.532,14.991,0,13.4713073944,0.0137759855465,13.0112324264,0.0262789522876,13.0615921312,0.0255857762134,,,13.0818427888,0.0162345519611,-0.0472707313337,-0.238399423705,-0.126087400069,,-0.127666126576,-1.93,0.23
109,13:27:01.56,-47:29:36.6,0.744098,14.446,14.909,0,13.2872600801,0.0057008771255,13.0753362573,0.0158871891088,12.9969727691,0.010251354924,,,12.7895241271,0.0201614101549,0.0108714038882,0.0715551966549,0.0634745126388,,-0.164321613879,-1.51,0.25
110,13:27:02.08,-47:30:06.6,0.332107,14.616,14.969,1,13.804301745,0.00593014895822,13.759068455,0.0137641341496,13.5940396568,0.00981141625296,,,12.7518181011,0.00940986896706,0.101151554839,0.227186906819,0.1239896595,,-0.801768032032,-2.14,0.16
111,13:26:49.03,-47:28:40.4,0.762905,14.393,14.9,0,13.2359195136,0.00745309406295,12.9073736955,0.0252128439491,12.868848244,0.0171535143791,12.9979993988,0.0198302884212,,,-0.0135443336838,-0.0690754955649,-0.0363920212299,-0.00277161282725,,-1.66,0.04
112,13:26:54.28,-47:30:23.2,0.474359,14.49,14.838,0,13.6893337714,0.00519281020044,13.3956669924,0.0148522819047,13.4422980451,0.00937342579376,,,,,-0.0726882794035,-0.10108908746,-0.000879350921464,,,-1.81,0.26
113,13:26:56.34,-47:31:47.6,0.573375,14.563,15.02,0,13.598076328,0.00564579489532,13.4128578282,0.0146040329285,13.2721494777,0.00867867757463,,,,,0.0405467324381,0.123685652838,0.0435898243775,,,-1.65,0.34
114,13:26:50.12,-47:30:21.1,0.675307,14.467,14.937,0,12.5451515589,0.018515383994,12.3950428153,0.0241261269167,12.0772450731,0.0318794386888,12.4060516904,0.0134319407454,12.0831111527,0.0107864532738,-0.835875414334,-0.714958429509,-0.966072565598,-0.694705851376,-0.981194227347,-1.32,0.3
115,13:26:12.30,-47:34:17.5,0.630474,14.535,15.025,0,13.4084221271,0.00348807492274,13.1913349317,0.00497004918375,13.1174838666,0.00369684550214,,,13.080644075,0.0110574935406,-0.0467056969656,0.00611260392255,-0.00360366986168,,-0.0618846082772,-1.87,0.01
116,13:26:35.50,-47:28:07.0,0.720133,14.392,14.867,0,12.7189552285,0.0140946699934,12.2594349452,0.0205375672042,12.0980962354,0.0213775583264,13.0731914536,0.0398543572072,,,-0.59274620398,-0.780192718275,-0.872463261437,0.02512056107,,-1.27,0.44
117,13:26:19.91,-47:29:21.0,0.421641,14.474,14.887,1,13.4857785849,0.00571851282143,13.2812034922,0.0122822704199,13.2069018654,0.00889678468761,,,13.0777581964,0.0124413944709,-0.00443820831072,-0.0143021016041,-0.0162150426458,,-0.264132063821,-1.68,0.25
118,13:26:40.56,-47:30:19.1,0.611618,14.458,14.884,0,13.4012146994,0.00644959085696,13.129647239,0.0157493386105,13.0131086601,0.0141982491096,12.985920887,0.0221368448894,13.0417065652,0.00810863104779,-0.0866663571303,-0.0888234737699,-0.142353860071,-0.196044584003,-0.135397511019,-1.62,0.23
119,13:26:38.29,-47:31:18.0,0.305876,14.686,14.992,1,13.8528428471,0.0056789083458,13.7828154062,0.0120202375647,13.6338700991,0.00824031417956,13.7573725582,0.0114685294697,13.6731179046,0.0560829300674,0.0762958110538,0.169456505274,0.0787037689208,0.133928432412,0.0465614925868,-1.61,0.1
120,13:26:25.52,-47:32:48.6,0.548537,14.764,15.232,0,13.5553437559,0.0142148689758,13.1156829319,0.022780352158,13.1549480985,0.0270438173259,13.204937877,0.0282280560434,13.1948031153,0.0150014643171,-0.0499556806907,-0.221981253137,-0.12374668298,-0.0662642726934,-0.106251677344,-1.39,0.06
121,13:26:28.17,-47:31:50.5,0.304182,14.588,14.902,1,13.7450145828,0.00456967662362,13.6587675017,0.00941519162489,13.5364441353,0.00760162628799,13.5647880034,0.00406668767185,,,-0.0364866146264,0.0399090190215,-0.0244674015579,-0.0651630859187,,-1.46,0.13
122,13:26:30.31,-47:33:02.2,0.634929,14.554,15.014,0,13.3843383853,0.00512008571977,13.1466020576,0.0121289369324,13.085687317,0.00696319690308,13.2573590208,0.0242767313752,13.4844994144,0.0347074367392,-0.0631941263874,-0.0309101343805,-0.0274288310024,0.106058000541,0.34998859349,-2.02,0.18
123,13:26:51.17,-47:37:13.2,0.474169,14.452,14.886,1,13.4739877825,0.00448918453372,13.2645393206,0.00534633831078,13.1768034803,0.00496305797311,,,,,0.0885080081127,0.0853015980533,0.0751472542691,,,-1.64,0.01
124,13:26:54.49,-47:39:07.5,0.33186,14.561,14.916,1,13.7179135395,0.00382880166922,13.5324031362,0.00520683311727,13.4969314836,0.00673506578373,,,,,0.0140996410641,-0.000215190143706,0.0261118018025,,,-1.33,0.23
125,13:26:48.92,-47:41:03.7,0.592888,14.58,99.999,0,13.4809145522,0.00445813862503,13.2291839074,0.00455292945988,13.1817394389,0.00434453679925,,,,,-0.0405162177476,-0.0233437122505,-0.00893398307842,,,-1.67,0.22
126,13:28:08.03,-47:40:46.7,0.341891,14.6,99.999,1,13.6480458248,0.00314907393795,13.4876890047,0.00485269112051,13.3752103686,0.00453688586294,,,,,-0.0292034508517,-0.0154401097436,-0.0648030401426,,,-1.31,0.13
127,13:25:19.36,-47:28:37.6,0.305274,14.63,99.999,1,,,,,13.5829156764,0.00505318931193,,,13.6986776975,0.00515409715248,,,0.0257113138551,,0.0703740792214,-1.59,0.08
128,13:26:17.75,-47:30:13.0,0.834988,14.391,14.904,0,13.228761722,0.00513363094375,12.9548960386,0.0091188144941,12.8236827846,0.00566789202438,,,12.9898955632,0.0478612778851,0.0766857781883,0.0773070290986,0.0206525103678,,0.167278444467,-1.88,0.04
130,13:26:09.93,-47:13:40.0,0.49325,14.74,99.999,0,13.8058888518,0.00598609499869,13.599321371,0.00927286962656,13.4985614694,0.00716230487421,,,,,0.0859913470692,0.145326662158,0.0995943841192,,,-1.46,0.17
131,13:26:30.07,-47:29:40.7,0.392252,14.493,14.877,1,13.555799291,0.00514309137474,13.3476480835,0.0138205262,13.2359908965,0.00803551146129,13.3829783335,0.00662554685954,,,0.00113098565708,-0.0194047072657,-0.0618686833194,0.0509572555612,,-1.56,0.2
132,13:26:39.22,-47:29:09.8,0.655656,14.452,14.886,0,13.268052765,0.00735035902373,13.1194351947,0.0246865066607,13.0460571531,0.0179370039614,13.1280808372,0.0391082685337,,,-0.144829033753,-0.0229024463369,-0.0306925784298,0.00311397803991,,-1.91,0.2
